"exposure_1","exposure_2","correlation","correlation_type","outcome"
"hot_nights","cold_days",-0.273128496574539,"raw","hf"
"cold_days","cold_days",1,"raw","hf"
"very_hot_days","cold_days",-0.267069853845893,"raw","hf"
"mean_temp","very_hot_days",0.681496415642054,"raw","hf"
"mean_tmax","very_hot_days",0.692140460412776,"raw","hf"
"mean_tmin","very_hot_days",0.67034972401639,"raw","hf"
"hot_nights","very_hot_days",0.884839620479773,"raw","hf"
"cold_days","very_hot_days",-0.267069853845893,"raw","hf"
"very_hot_days","very_hot_days",1,"raw","hf"
"mean_temp","mean_temp",1,"month_and_trend_residualised","hf"
"mean_tmax","mean_temp",0.95461131886474,"month_and_trend_residualised","hf"
"mean_tmin","mean_temp",0.978446661228401,"month_and_trend_residualised","hf"
"hot_nights","mean_temp",0.273346792749537,"month_and_trend_residualised","hf"
"cold_days","mean_temp",-0.622175300459621,"month_and_trend_residualised","hf"
"very_hot_days","mean_temp",0.296972868990273,"month_and_trend_residualised","hf"
"mean_temp","mean_tmax",0.95461131886474,"month_and_trend_residualised","hf"
"mean_tmax","mean_tmax",1,"month_and_trend_residualised","hf"
"mean_tmin","mean_tmax",0.886192923524365,"month_and_trend_residualised","hf"
"hot_nights","mean_tmax",0.264075496629942,"month_and_trend_residualised","hf"
"cold_days","mean_tmax",-0.531531547241272,"month_and_trend_residualised","hf"
"very_hot_days","mean_tmax",0.349848790373992,"month_and_trend_residualised","hf"
"mean_temp","mean_tmin",0.978446661228401,"month_and_trend_residualised","hf"
"mean_tmax","mean_tmin",0.886192923524365,"month_and_trend_residualised","hf"
"mean_tmin","mean_tmin",1,"month_and_trend_residualised","hf"
"hot_nights","mean_tmin",0.256176541896313,"month_and_trend_residualised","hf"
"cold_days","mean_tmin",-0.665901316884596,"month_and_trend_residualised","hf"
"very_hot_days","mean_tmin",0.245824065177035,"month_and_trend_residualised","hf"
"mean_temp","hot_nights",0.273346792749537,"month_and_trend_residualised","hf"
"mean_tmax","hot_nights",0.264075496629942,"month_and_trend_residualised","hf"
"mean_tmin","hot_nights",0.256176541896313,"month_and_trend_residualised","hf"
"hot_nights","hot_nights",1,"month_and_trend_residualised","hf"
"cold_days","hot_nights",0.0114713094674274,"month_and_trend_residualised","hf"
"very_hot_days","hot_nights",0.699468743098021,"month_and_trend_residualised","hf"
"mean_temp","cold_days",-0.622175300459621,"month_and_trend_residualised","hf"
"mean_tmax","cold_days",-0.531531547241272,"month_and_trend_residualised","hf"
"mean_tmin","cold_days",-0.665901316884596,"month_and_trend_residualised","hf"
"hot_nights","cold_days",0.0114713094674274,"month_and_trend_residualised","hf"
"cold_days","cold_days",1,"month_and_trend_residualised","hf"
"very_hot_days","cold_days",0.00835523542428573,"month_and_trend_residualised","hf"
"mean_temp","very_hot_days",0.296972868990273,"month_and_trend_residualised","hf"
"mean_tmax","very_hot_days",0.349848790373992,"month_and_trend_residualised","hf"
"mean_tmin","very_hot_days",0.245824065177035,"month_and_trend_residualised","hf"
"hot_nights","very_hot_days",0.699468743098021,"month_and_trend_residualised","hf"
"cold_days","very_hot_days",0.00835523542428573,"month_and_trend_residualised","hf"
"very_hot_days","very_hot_days",1,"month_and_trend_residualised","hf"
